iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
131,2.758096E8,2.1649266666666666E8,2.156798E8,2.3152233333333334E8,2.35341E8,2.5461913333333334E8,2.0925826666666666E8
132,2.843073333333333E8,2.185986E8,2.1450206666666666E8,2.3250086666666666E8,2.352304E8,2.5516753333333334E8,2.0924333333333334E8
133,2.1004793333333334E8,2.1575306666666666E8,2.09482E8,2.3084606666666666E8,2.3274233333333334E8,2.5297733333333334E8,2.0924333333333334E8
134,2.6441953333333334E8,2.1491353333333334E8,2.1999693333333334E8,2.29115E8,2.3601813333333334E8,2.4743833333333334E8,2.0898973333333334E8
135,2.1454226666666666E8,2.1331326666666666E8,2.1310086666666666E8,2.323402E8,2.289844E8,2.5404246666666666E8,2.0898973333333334E8
136,2.1380806666666666E8,2.150662E8,2.1584506666666666E8,2.3029953333333334E8,2.3629833333333334E8,2.5355853333333334E8,2.0898973333333334E8
137,2.861056E8,2.1332813333333334E8,2.1743466666666666E8,2.3089613333333334E8,2.3699586666666666E8,2.493976E8,2.0869E8
138,2.1314366666666666E8,2.757070666666667E8,2.733029333333333E8,2.3023633333333334E8,2.3096753333333334E8,2.5427653333333334E8,2.0863146666666666E8
139,2.0504026666666666E8,2.0817206666666666E8,2.1602233333333334E8,2.245542E8,2.3271106666666666E8,2.4701166666666666E8,2.0863146666666666E8
140,2.037184E8,2.124636E8,2.2021633333333334E8,2.2273573333333334E8,2.340388E8,2.496578E8,2.0863146666666666E8
141,2.057702E8,2.1390766666666666E8,2.1998426666666666E8,2.2930353333333334E8,2.3143106666666666E8,2.4905033333333334E8,2.0863146666666666E8
142,2.0544726666666666E8,2.0866106666666666E8,2.1283453333333334E8,2.1955526666666666E8,2.297382E8,2.5016186666666666E8,2.085928E8
143,2.0180266666666666E8,2.1008993333333334E8,3.164006666666667E8,2.2388646666666666E8,2.342618E8,2.4651346666666666E8,2.085686E8
144,2.0889333333333334E8,2.073378E8,2.1319053333333334E8,2.2591306666666666E8,2.3425866666666666E8,2.4554633333333334E8,2.0855973333333334E8
145,2.0428993333333334E8,2.1017893333333334E8,2.1144406666666666E8,2.2535986666666666E8,2.317304E8,2.496376E8,2.0855973333333334E8
146,1.9774553333333334E8,2.1079833333333334E8,2.1538246666666666E8,2.2551753333333334E8,2.3677973333333334E8,2.516806E8,2.0855253333333334E8
147,2.003952E8,2.0672826666666666E8,2.1696426666666666E8,2.210598E8,2.3186493333333334E8,2.4704906666666666E8,2.0827633333333334E8
148,1.9591493333333334E8,2.08098E8,2.1021393333333334E8,2.188854E8,2.2848806666666666E8,2.463478E8,2.079622E8
149,2.843978E8,2.032576E8,2.150268E8,2.227584E8,2.298904E8,2.4673713333333334E8,2.079622E8
150,1.991596E8,2.0227406666666666E8,2.151816E8,2.1873873333333334E8,2.271548E8,2.4885633333333334E8,2.0763826666666666E8
151,1.9684073333333334E8,2.0116493333333334E8,2.1646426666666666E8,2.1984093333333334E8,2.242268E8,2.476648E8,2.0763826666666666E8
